age,gender,marital_status,race,annual_income,credit_score,loan_amount,loan_duration,loan_type,interest_rate,loan_approved,loan_defaulted
56,Male,Single,Hispanic,93851,453,31553,1,Home Loan,3.554357798419546,0,0
69,Male,Married,Asian,28036,565,49331,28,Home Loan,9.955160728952087,0,0
46,Male,Married,Other,51778,378,35497,10,Home Loan,13.951260322597324,1,0
32,Female,Single,Hispanic,47734,614,36308,9,Home Loan,5.128216339916914,1,0
60,Male,Married,Hispanic,43173,547,44560,23,Car Loan,3.0845149754897023,1,0
25,Male,Married,White,50403,713,15374,4,Education Loan,12.665952552386932,1,0
38,Male,Single,White,86321,324,9675,28,Education Loan,3.921548211440808,0,0
56,Female,Single,Other,91675,583,6170,6,Car Loan,7.9644723829203645,0,0
36,Female,Married,Hispanic,26344,748,46449,16,Personal Loan,11.14664804626542,0,1
40,Male,Single,Black,38800,600,48485,2,Education Loan,5.8415710254741615,0,0
28,Male,Married,White,45372,367,17450,23,Personal Loan,4.00755076136072,1,1
28,Male,Married,Other,81516,306,15680,18,Education Loan,12.240254741469943,0,0
41,Male,Married,Hispanic,40538,436,15068,10,Personal Loan,10.562101018644498,0,0
53,Female,Married,Hispanic,83918,463,40230,24,Car Loan,14.861885813841656,1,0
57,Female,Single,Black,34973,382,31206,24,Home Loan,7.1316963998395115,0,0
41,Female,Single,Other,91155,719,5287,17,Personal Loan,3.7411486354823964,0,0
20,Female,Single,Hispanic,79500,372,27337,13,Home Loan,11.81220042402355,0,0
39,Male,Single,White,56575,536,25666,24,Personal Loan,9.260801026238948,1,0
19,Male,Married,Black,62261,345,6161,18,Personal Loan,5.55844717666962,1,0
41,Male,Married,Other,47716,561,40131,22,Personal Loan,12.380747868057114,0,0
61,Female,Single,Black,23236,475,29535,13,Personal Loan,5.445065830199325,1,0
47,Male,Married,White,35848,465,37528,17,Personal Loan,6.127939857995239,1,0
55,Female,Married,Other,22352,669,43751,5,Home Loan,4.11034265240063,1,1
19,Female,Married,Black,21932,353,21527,11,Personal Loan,7.793187348370253,1,0
38,Male,Single,Asian,96449,718,45975,7,Home Loan,8.027150687249026,1,0
